檔案,分類,大小 bytes
docs/ai-award.pdf,獎狀與證明,4843509
docs/ai-learning-slides.pdf,報告與作品,11471287
docs/ai-rent-slides.pdf,報告與作品,15908478
docs/ai-research-plan.pdf,報告與作品,377092
docs/atcc-outline.pdf,報告與作品,3679586
docs/atcc-proposal.pdf,報告與作品,17526061
docs/atcc-slides.pdf,報告與作品,55897106
docs/atcc-visit.pdf,報告與作品,9744664
docs/aws-award.pdf,獎狀與證明,980602
docs/aws-completion.pdf,獎狀與證明,434602
docs/aws-slides-excerpt.pdf,報告與作品,6143311
docs/brand-award.pdf,獎狀與證明,1451193
docs/brand-personal.pdf,報告與作品,13325157
docs/brand-portfolio.pdf,報告與作品,941874
docs/brand-team.pdf,報告與作品,36567550
docs/buildmode-proof.pdf,獎狀與證明,1433398
docs/cardif-award.pdf,獎狀與證明,69379
docs/cardif-slides.pdf,報告與作品,30180817
docs/family-concept.pdf,報告與作品,5240171
docs/family-poster.pdf,報告與作品,4325364
docs/family-proposal.pdf,報告與作品,29378485
docs/family-report.pdf,報告與作品,4427869
docs/family-slides.pdf,報告與作品,14432621
docs/ga4-portfolio.pdf,報告與作品,690686
docs/jinyun-award.pdf,獎狀與證明,878459
docs/jinyun-report.pdf,報告與作品,5732378
docs/jinyun-slides.pdf,報告與作品,12376536
docs/lulu-resume-en.pdf,報告與作品,246611
docs/lulu-resume-zh.pdf,報告與作品,386541
docs/research-report.pdf,報告與作品,1116344
docs/research-slides.pdf,報告與作品,74688158
docs/spatial-award.pdf,獎狀與證明,1380389
docs/spatial-slides.pdf,報告與作品,17578012
docs/whale-award.pdf,獎狀與證明,192403
docs/whale-slides.pdf,報告與作品,13085293
docs/yunus-slides.pdf,報告與作品,18321188
